0-##221119 @!HUGH-DOWNS ,"[6, "" Good evening . I 'm Hugh Downs ""]"
1- BARBARA WALTERS ,"[9, "" And I 'm Barbara Walters . And this is 20/20 ""]"
2-ANNOUNCER,"[48, ' From ABC News , around the world and into your home , the stories that touch your life . With Hugh Downs and Barbara Walters , this is 20/20 . Tonight , the chemical peel , advertised as a non-surgical face lift . From this to this , a brand-new you in just a matter of days ']"
3- CHEMICAL PEEL PATIENT ,"[7, ' Everyone loves me and I love me ']"
4-ANNOUNCER,"[7, ' But John Stossel learned there are problems ']"
"5- BRENDA ORDYNE , Chemical Peel Patient ","[17, ' The chemical got through to the cornea and it damaged two to three layers of my cornea ']"
6-ANNOUNCER,"[7, ' Faces in the hands of the untrained . ']"
"7-Dr STEVEN VICTOR , Dermatologist ","[17, "" You hit one face - you make a big mistake on the face , it 's a big mistake ""]"
8-ANNOUNCER,"[32, "" The chemical peel . Here 's everything you need to know .  Goodbye Wrinkles .  Did you hear about the New York Lottery hoax .           winning numbers . Some reporters bought it .WOMAN Is n't that unbelievable ""]"
9- ANNOUNCER ,"[21, "" Alan Abel was the mastermind . He 's always playing jokes on the media . Reporters also bought his phony school for beggars ""]"
"10- ALAN ABEL , Prankster ","[26, "" Be polite . Say ,  Pardon me , sir ,   Thank you .  You got to use manners ' cause as soon as you use manners , people are going to be shocked ""]"
11-ANNOUNCER,"[35, "" Lynn Sherr with a few laughs and favorite tricks of  The Joker .  It looks like a nursing home , but it 's a prison . Eight- year-old Ardell Taylor shot a woman . So did 78-year-old Floyd Hannah ""]"
"12- LIBBY MARSH , Social Worker , McCain Prison Hospital ","[20, "" And he told his wife ,  Do n't you step out on me , lady .  And she did and he killed her ""]"
13-ANNOUNCER,"[13, "" Elderly convicts . Prisons are n't ready for them . What 's to be done . ""]"
"14-Dr BERT ROSEFIELD , Superintendent , McCain Prison Hospital ","[12, ' I think that every state           two facilities that are essentially nursing homes ']"
15-ANNOUNCER,"[13, ' Bob Brown reports ,  Golden Years Behind Bars .  Those stories tonight , January 19 , 1990 ']"
16- Golden Years Behind Bars WALTERS ,"[83, "" What 's your image , I wonder , of the average convict . The tough guy with a scar across the cheek . How about the likes of Pa Kettle or your grand dad . The face of America 's prison population is changing and how it is . The number of convicts in their 70 's and 80 's is surging and the wave has only begun to rise . This is only the beginning . So what do we do about them and what is it like for them ""]"
17- DOWNS ,"[31, ' If they are very old , should they even be in prison . If let out , are they likely to be repeat offenders . And what kind of crimes did these older inmates commit ']"
"18- Well , Bob Brown is about to show us a group of gentlemen you might want to invite for Sunday dinner unless you remember some of them           Prison Hospital ","[8, ' Oh boy , who knows what day it is ']"
"19- ARDELL TAYLOR , Convicted Felon ","[1, ' Nineteenth . ']"
20-Ms MARSH ,"[19, "" Great . You 're doing better than I am . I had to look at a calendar . When were you born ""]"
